,title,cast,description,genre,duration,release_year,country,rating
1487,containment,david gyasi  christina marie moses  chris wood  kristen gutoskie  claudia black  george young  hanna mangan lawrence  trevor st. john,ferocious contagion sweep atlanta authority impose precarious quarantine city scrambling find cure .,tv,one,2016,united states,r
1489,controlz,ana valeria becerril  michael ronda  yankel stevan  zion moreno  luis curiel  samantha acuã±a  macarena garcã­a  fiona palomo  andrã©s baida  patricio gallardo  ivã¡n aragã³n  xabiani ponce de leã³n  patricia maqueo  rodrigo cachero  rocã­o verdejo  mauro sã¡nchez navarro  lidia san josã©  thanya lã³pez  renata del castillo  arturo barba  kariam castro  ariana saavedra  alexander holtmann  nastassia villasana  marco zunino,hacker begin releasing students ' secret entire high school socially isolated observant sofã­a work uncover his/her identity .,international,one,2020,mexico,r
1490,conversationswithakiller:thetedbundytapes,,present-day interview archival footage audio recording made death row form searing portrait notorious serial killer ted bundy .,crime,one,2019,united states,r
1493,cooked,michael pollan,try hand baking brewing braising acclaimed food writer michael pollan explores cooking transforms food shape world .,docuseries,one,2016,united states,tv-pg
1494,cookedwithcannabis,kelis  leather storrs,chef compete get host special guest high elevated cannabis cuisine artful use leafy herb thc infusion cbd sauces .,reality,one,2020,united states,r
1495,cookingonhigh,josh leyva  ngaio bealum,first-ever competitive cannabis cooking show two chef prepare mouthwatering marijuana-infused dish panel chill celeb judges .,reality,one,2018,united states,r
1502,coronavirusexplained,,2020 world changed. topical series examines coronavirus pandemic effort combat way manage mental health toll .,docuseries ,one,2020,united states,tv-pg
1507,countryeverafter,,country artist coffey anderson wife hip-hop dancer criscilla juggle family life career goal test faith reality series .,reality,one,2020,united states,tv-pg
1510,courtjustice,chris bourke,bustling local court sydney 12 magistrate preside different level criminal offense deliver life-changing verdicts .,crime,one,2017,australia,r
1517,crashlandingonyou,hyun bin  son ye-jin  seo ji-hye  kim jung-hyun  oh man-seok  kim young-min  kim jung-nan  kim sun-young  hwangwoo seul-hye,paragliding mishap drop south korean heiress north korea â€ “ life army officer decides help hide .,international,one,2019,south korea,tv-pg
1518,crashing,phoebe waller-bridge  jonathan bailey  adrian scarborough  damien molony  louise ford  julie dray  amit shah,exchange low rent hodgepodge group 20-something tenant set residence property guard disused hospital hilarity ensues .,british,one,2016,united kingdom,r
1521,crazydelicious,jayde adams  carla hall  heston blumenthal  niklas ekstedt,competition show daring home chef tempt food god reinvented classic fanciful feast quest win golden apple .,british,one,2020,united kingdom,tv-pg
1522,crazyex-girlfriend,rachel bloom  vincent rodriguez iii  santino fontana  donna lynne champlin  pete gardner  vella lovell  gabrielle ruiz  scott michael foster,still pining josh boy dumped age ago whip-smart lawyer rebecca jettisons new york life move california win back .,romantic,four,2019,united states,r
1524,crazylovelycool,enyinna nwigwe  adesua etomi  uru eke  zynnell zuh  obi okolie  anthony monjaro  emmanuel emelu  chinonye chidolue  lorenzo menakaya  king bawa,group charismatic undergraduate jolting revelation campus blog turn surviving university life serious matter .,international,one,2018,nigeria,r
1525,crazyhead,cara theobold  susan wokoma  riann steele  arinzã© kene  lewis reeves  tony curran,bowling alley worker amy nonconformist raquel kick serious demon butt also facing inner demon navigate early 20s .,british,one,2016,united kingdom,r
1528,creators,fabio aste  hã©ctor segura  sebastian rosas,two brilliant scientist discover hidden virtual city creã ¡ polis citizen power solve problem believing creating .,kids',two,2015,argentina,tv-y
1531,creepedout,victoria diamond  william romain  sydney wade  jennifer james  daniel ryan  robert styles  rhys gannon  maeve larkin  margaret jackman  katie proctor  jonathan blake  maximus evans  anya lawrence  tiffany elefano  diya kittur  berkley silverman  malen clarkson  jason done  rosina carbone  boris burnell anderson  macey howarth  rebecca hanssen  william haresceugh  chris jack  zita sattar  acushla-tara kupe  tillie amartey  isabella pinto  bella band  lola ogunyemi  elizabeth bower  gianluca gallucci  jacob henshaw  amelia curtis  romy weltman  justin paul kelly  jordan poole  thamela mpumlwana  jake sim  leah choudhry  daniel ogbeide-john  emma gregory  rachel leskovac  andonis anthony  kyle breitkopf  julian richings  kathryn emily douglas,"masked figure known "" curious "" collect tale dark magic otherworldly encounter twisted technology kid anthology series .",british,two,2019,united kingdom  canada,tv-pg
1532,cricketfever:mumbaiindians,,follow indian premier league champion mumbai indian 2018 season series featuring insider insight intense cricket action .,docuseries ,one,2019,india,r
1533,crimediaries:nightout,sebastiã¡n osorio  fabiana medina  laura osma  enrique carriazo  juliã¡n romã¡n  juliana velã¡squez  juan pablo urrego  carlos vergara  ernesto campos  fabio rubiano  ernesto benjumea  jairo camargo  marcela agudelo,going halloween party college student luis andrã © colmenares found dead. wa accident murder ? inspired true events .,crime,one,2019,mexico,r
1534,crimediaries:thecandidate,jorge a. jimã©nez  ilse salas  alberto guerra  gustavo sã¡nchez parra  jorge antonio guerrero  ari brickman  martã­n altomaro  hernã¡n del riego  norma angã©lica  lisa owen  eligio melã©ndez  marco treviã±o  pedro de tavira egurrola  leonardo alonso,1994 mexican presidential candidate luis donaldo colosio ' assassination sends dying widow racing uncover it. based true events .,crime,one,2019,mexico,r
1535,crimetime,augusto madeira  ã‰rico brã¡s  gustavo machado  dionisio neto  fernanda vianna  georgina castro  leo miranda  marat descartes  mauricio tarcinalli barros  sabrina greve  sã©rgio malheiros,born poverty trapped grim job cop favelas wannabe actor forge bloody path celebrity wealth. based true events .,crime,one,2017,france,r
1536,criminalminds,mandy patinkin  joe mantegna  thomas gibson  shemar moore  matthew gray gubler  kirsten vangsness  a.j. cook  paget brewster  lola glaudini  jennifer love hewitt  jeanne tripplehorn,intense police procedural follows group extraordinary fbi profilers spend day getting mind psychopathic criminals .,crime,twelve,2017,united states  canada,tv-pg
1537,criminal:france,margot bancilhon  laurent lucas  stã©phane jobert  anne azoulay  mhamed arezki  sara giraudeau  nathalie baye  jã©rã©mie renier,secret emerge entire case unravel inside police interview room paris suspect investigator face intricate dance .,crime,one,2019,,r
1538,criminal:germany,eva meckbach  sylvester groth  florence kasumba  peter kurth  christian berkel  nina hoss  christian kuchenbuch  jonathan berlin  deniz arora,interview room detective go head-to-head suspect try get truth â€ “ even mean breaking rule risking .,crime,one,2019,germany,r
1539,criminal:spain,emma suã¡rez  jorge bosch  ãlvaro cervantes  carmen machi  inma cuesta  eduard fernã¡ndez  marã­a morales  josã© ãngel egido  daniel chamorro  javi coll  carlos manuel dã­az  nuria mencã­a  milo taboada,psychological game abound detective suspect tense interrogation room search answer sometimes come moral cost .,crime,one,2019,spain,r
1540,criminal:uk,katherine kelly  lee ingleby  mark stanley  rochenda sandall  shubham saraf  nicholas pinnock  david tennant  hayley atwell  youssef kerkour  clare-hope ashitey  isabella laughland,within wall interrogation room time running london investigator go three suspect accused grievous crime .,british,two,2020,united kingdom  france  germany  spain,r
1548,cuckoo,andy samberg  taylor lautner  greg davies  helen baxendale  tamla kari  tyger drew-honey  esther smith,rachel shock proper british parent marries american hippie ' first series surprise family .,british,five,2019,united kingdom,r
1552,cupcake&dino-generalservices,justin collette  mark little  kyle dooley  mark forward  joris jarksy  julie lemieux  kayla lorette  julie sype,enterprising cupcake cheerful dinosaur brother take job sort work help friend stranger eccentric city .,kids',two,2019,canada  brazil,tv-y7
1553,curon,valeria bilello  luca lionello  federico russo  margherita morchio  anna ferzetti  alessandro tedeschi  juju di domenico  giulio brizzi  max malatesta,17 year woman return home teenage twins. mysteriously vanishes child must reckon shadowy family legacy .,international,one,2020,italy,r
1554,cursed,katherine langford  devon terrell  gustaf skarsgã¥rd  daniel sharman  sebastian armesto  lily newmark  shalom brune-franklin  matt stokoe  bella dayne  peter mullan  emily coates,armed mysterious power legendary sword young rebel nimueâ join force charming mercenary arthur mission save people .,tv,one,2020,united kingdom  australia,r
1559,cyborg009vsdevilman,jun fukuyama  shintaro asanuma  haruka shiraishi  tomoaki maeno  mãƒ»aãƒ»o  hiroki touchi  takeshi koyama  yu mizushima  hozumi goda  ayumu okamura  saori hayami  satoshi hino  johnny yong bosch  bryce papenbrook  christine marie cabanos  spike spencer  stephanie sheh  michael sinterniklaas  keith silverstein  joey lotsko  tony azzolino  steve staley  cristina vee  christopher corey smith,"black ghost scientist release newly modified cyborg mysterious demon appear tokyo world "" devilman "" "" cyborg 009 "" meet .",anime,one,2015,japan  united states,r
1560,cyborg009:callofjustice,keisuke koumoto  risa taneda  misato fukuen  takuya sato  satoshi hino  kenji nomura  mitsuaki madono  setsuji sato  haruki ishiya  ryo sugisaki  yui makino  kazuhiko inoue  yuko kaida,year taking normal life incognito cyborg forced fight superhuman blessed appear plan humanity .,anime,one,2017,japan,tv-pg
1564,dã©jã vu,mandy wei  yao yuan hao  wang si ping  yang zheng  jenna wang  nylon chen,losing everything prima ballerina accepts stranger ' offer dial back time reclaim wa taken â€ “ great price .,international,one,2013,,tv-pg
1565,dã©rã¨:anafricantale,weruche opia  gbenro ajibade  ireti doyle  keppy ekpenyong  carol king  shaffy bello  tosan edremoda ugbeye  nina iphechukwude anyianuka  pearl nkiru waturuocha  emmanuel ikubese  omowunmi dada  paul adams  charles ukpong  monica friday  kevin ushi,experiencing tragic loss woman must resist new family dynamic could control future father ' company life .,international,one,2016,,tv-pg
1576,dad'sarmy,arthur lowe  john le mesurier  clive dunn  john laurie  arnold ridley  ian lavender  james beck  bill pertwee,beloved sitcom follows unlikely hero volunteer british home guard prepare german invasion world war ii .,british,ten,1977,united kingdom,tv-pg
1583,damnation,logan marshall-green  killian scott  sarah jones  chasten harmon  christopher heyerdahl  melinda page hamilton  joe adler,great depression stranger violent past pose preacher rally farmer mount strike rural iowa community .,crime,one,2017,united states,r
1585,dance&singwithtrue,michela luci  jamie watson  anna claire bartlam  dante zee  eric peterson,true friend making music â€ “ want dance sing along. cut loose silly goose ! fun beat totally sweet .,kids',one,2018,,tv-y
1586,danceacademy,xenia goodwin  alicia banit  dena kaplan  isabel durant  thom green  jordan rodrigues  thomas lacey  tim pocock  tara morice,fifteen-year-old tara webster ' dream dancing come true get top dance academy. soon realizes dancing half battle .,international,one,2013,australia,tv-pg
1589,dancingangels,,group aspiring young musician yearn stardom navigating ups friendship romance life school .,international,one,2016,,tv-pg
1590,dancingqueen,"justin ""alyssa edwards"" johnson",snatching trophies. getting gorgeous. turning up. alyssa edward rule dance studio day â€ “ drag world night .,reality,one,2018,,tv-pg
1593,dandy,alfonso herrera  damiã¡n alcã¡zar  gabriela roel  itahisa machado  dagoberto gama  hernã¡n mendoza  daniel martã­nez  christian vasquez  aleyda gallardo  danny perea  pakey vã¡zquez  fã¡tima molina  hã©ctor holten  carlos valencia,law professor enlisted mexico ' attorney general join special operation unit infiltrating capital ' notorious drug cartel .,crime,one,2016,mexico,r
1595,dangermouse,alexander armstrong  kevin eldon  stephen fry  ed gaughan  shauna macdonald  dave lamb  morwenna banks,world ' greatest super-spy return save world help hapless hamster penfold collection state-of-the-art gadgetry .,british,two,2016,united kingdom,tv-y7
1596,dangermouse:classiccollection,david jason  terry scott  edward kelsey  brian trueman,follow adventure superspy danger mouse bumbling sidekick penfold jet around world foiling enemies ' evil plots .,british,ten,1992,united kingdom,tv-y
1598,dangerousroads,adrian dunbar  sue perkins  charley boorman  rhod gilbert  greg davies  ben fogle  hugh dennis  ed byrne  andy parsons  liza tarbuck  david baddiel,using various 4x4 vehicle celebrity steer way across infamous road trickiest terrain earth .,british,two,2012,united kingdom,r
1599,danielsloss:liveshows,daniel sloss,comedian daniel sloss ready find funny dark topic deeply personal truly irreverent .,stand-up,one,2018,united states,r
1607,dareme,willa fitzgerald  herizen guardiola  marlo kelly  rob heaps  zach roerig  paul fitzgerald  alison thornton  tammy blanchard  amanda brugel  chris zylka,relationship topple loyalty flip icy new cheerleading coach take high school squad ruled beth devoted bff addy .,crime,one,2019,united states,r
1609,dark,louis hofmann  oliver masucci  jã¶rdis triebel  maja schã¶ne  karoline eichhorn  sebastian rudolph  anatole taubman  mark waschke  stephan kampwirth  anne ratte-polle  andreas pietschmann  lisa vicari  michael mendl  angela winkler,missing child set four family frantic hunt answer unearth mind-bending mystery span three generations .,crime,three,2020,germany  united states,r
1612,darkdesire,maite perroni  erik hayser  alejandro speitzer  marã­a fernanda yepes  jorge poza  regina pavã³n  paulina matos  leticia huijara  claudia pineda  esteban soberanes  claudia rã­os  samantha orozco  fabiã¡n merlo  eligio melã©ndez  carmen beato  carlos torres  toã±o valdã©s,married alma spends fateful weekend away home ignites passion end tragedy lead question truth close .,crime,one,2020,mexico,r
1615,darkmatter,marc bendavid  melissa o'neil  anthony lemke  alex mallari jr.  jodelle ferland  roger cross  zoie palmer,waking aboard derelict spaceship memory crew raza investigates mystery identity destination .,tv,three,2017,canada,tv-pg
1618,darktourist,,nuclear lake haunted forest journalist david farrier visit unusual â€ “ often macabre â€ “ tourism spot around world .,docuseries ,one,2018,new zealand,r
1621,darrsabkolagtahai,bipasha basu,chilling horror anthology series actress model bipasha basu meet people disconcerting paranormal experiences .,international,one,2015,india,r
1623,dash&lily,midori francis  austin abrams  dante brown  troy iwata,opposite attract christmas cynical dash sunny lily trade message dare red notebook pas back forth around new york city .,romantic,one,2020,united states,tv-pg
1624,datingaround,,episode flirtation fails one real-life single navigates five blind dates. mission : find one match worthy second date .,reality,two,2020,,r
1625,datingaround:brazil,,reality show six single meet five different blind date trendy urban hot spot brazil. choose second outing ?,international,one,2020,brazil,tv-pg
1626,daughtersofdestiny,,five girl india ' impoverished family attend boarding school designed create opportunity strive brighter future .,docuseries,one,2017,united states,tv-pg
1628,davechappelle,dave chappelle,comedy icon dave chappelle make triumphant return screen pair blistering fresh stand-up specials .,stand-up,one,2017,united states,r
1629,davechappelle:equanimity&thebirdrevelation,dave chappelle,comedy titan dave chappelle cap wild year two stand-up special packed scorching new material self-reflection tough love .,stand-up,one,2017,united states,r
1637,dawaiasmara,hanna aqiela  tengku putri najuwa  emelie hanif  zoey rahman  faiez affandi  wanny mustahfah  sherie merlis  mahmud alibashah  zalfa zin  kamal ibrahim  amanda hariz  alesha hariz  fathimah az zahra  elya miera ismail,following life-changing trauma two girl different background fight discover identity biological parents .,international,one,2016,,tv-pg
1638,dawnofthecroods,stephanie lemelin  a.j. locascio  dan milano  grey delisle  cree summer  laraine newman  chris parnell  ana gasteyer  dee bradley baker  thomas lennon  dominic catrambone,world ' first family back laugh discover sport sleepover wonder world exotic creature adventures .,kids',four,2017,united states,tv-y7
1639,dawson'screek,james van der beek  katie holmes  michelle williams  joshua jackson  kerr smith  meredith monroe  busy philipps  mary beth peil,nighttime soap group close-knit teen frankly depicts issue adolescence ob young adult including sex sex sex .,romantic,six,2002,united states,tv-pg
1640,dayandnight,pan yueming  wang longzheng  liang yuen  lã¼ xiaolin  yin shuyi  hou xuelong  song naigang,detective assist investigation brutal mass murder case twin brother prime suspect .,crime,one,2017,china,r
1642,daybreak,colin ford  alyvia alyn lind  sophie simnett  austin crute  cody kearsley  jeantã© godlock  gregory kasyan  krysta rodriguez  matthew broderick,living best life post-apocalyptic la slacker strives find girl dream outwitting mindless ghoul cliquish gangs .,tv,one,2019,united states,r
1643,dayswestaredatthesun,sean huang  chang chia-yu  wu chien-ho  teresa daley  yong lea  edison song  shan cheng-ju  iris hu  hsia teng-hung,model student resort violence witnessing greed corruption wreak havoc life .,international,two,2017,taiwan,r
1645,dcsuperherogirls,grey griffin  tara strong  nicole sullivan  kari wahlgren  myrna velasco  kimberly brooks,metropolis high student super teen wonder woman supergirl bumblebee batgirl zatanna green lantern fight crime classwork crushes .,kids',one,2019,united states,tv-y7
1646,dc'slegendsoftomorrow,victor garber  brandon routh  caity lotz  franz drameh  amy pemberton  dominic purcell  maisie richardson-sellers  nick zano  arthur darvill  wentworth miller  tala ashe  adam tsekhman  christina brucato  simon merrells  nils hognestad  jes macallan  keiynan lonsdale,"mysterious "" time master "" future unites unlikely group superheroes villain save world powerful evil .",tv,five,2020,united states,tv-pg
1651,deadset,jaime winstone  andy nyman  kevin eldon  davina mccall  warren brown  riz ahmed  beth cordingly  kathleen mcdermott  raj ghatak,housemate big brother house remain oblivious fast-moving horde undead decimate studio compound .,british,one,2008,united kingdom,r
1652,deadtome,christina applegate  linda cardellini  james marsden  max jenkins  sam mccarthy  luke roessler  edward asner,hotheaded widow searching hit-and-run driver mowed husband befriends eccentric optimist ' quite seems .,tv,two,2020,united states,r
1657,deadwind,pihla viitala  lauri tilkanen  jani volanen  tommi korpela  pirjo lonka  riku nieminen  pamela tola  jonna jã¤rnefelt  raimo grã¶nberg,month tragic loss detective sofia karppi investigates murder woman tie helsinki construction company .,crime,two,2020,finland  germany,r
1658,deafu,,reality series tight-knit group deaf hard hearing student share story explore life gallaudet university .,docuseries,one,2020,united states,r
1663,dearmyfriends,shin gu  kim yeong-ok  kim hye-ja  na mun-hee  ju hyun  youn yuh-jung  park won-suk  go du-sim  ko hyun-jung,life ever-delightful â€ ” ever-challenging â€ ” group friend twilight year rediscover love family .,international,one,2016,south korea,r
1665,dearwhitepeople,logan browning  brandon p. bell  deron horton  antoinette robertson  john patrick amedori  ashley blaine featherson  marque richardson  giancarlo esposito,"student color navigate daily slight slippery politics life ivy league college ' nearly "" post-racial "" thinks .",tv,three,2019,united states,r
1668,deathbymagic,drummond money-coutts,magician drummond money-coutts travel globe sharing infectious love craft attempting feat proved fatal magicians .,reality,one,2018,united states,tv-pg
1679,deepundercovercollection,dave b. mitchell,"former fbi agent joe pistone real-life "" donnie brasco "" host series reveals true story undercover crime-fighting operations .",crime,three,2017,united states,r
1680,deepwater,noah taylor  yael stone  jeremy lindsay taylor  danielle cormack  ben oxenbould  dan spielman  craig mclachlan  william mcinnes  olivia mcnamara  john brumpton  simon burke  simon elrahi  victoria haralabidou  renee lim  julian maroun  george harrison xanthis,back bondi beach grew dc torus lustigman investigates gay man ' murder find link brother ' death decade earlier .,crime,one,2016,australia,r
1686,degrassi:nextclass,amanda arcuri  amir bageria  soma bhatia  jamie bloch  stefan brogren  chelsea clark  reiya downs  ana golja  nikki gould  ricardo hoyos  ehren kassam  andre kim  lyle lettau  spencer macpherson  eric osborne  dante scott  olivia scriven  sara waisglass  richard walters,degrassi ' next generation high-tech newbie returning student navigates real-world high school drama. ' teen life .,international,four,2017,canada,tv-pg
1690,delhicrime,shefali shah  rajesh tailang  rasika dugal  adil hussain  vinod sharawat  mridul sharma  gopal dutt tiwari  anurag arora  gaurav rana  yashaswini dayama,delhi reel aftermath gang rape dcp vartika chaturvedi lead painstaking search culprits. based 2012 nirbhaya case .,crime,one,2019,india,r
1694,demarcusfamilyrules,,rascal flatts bassist jay demarcus ex-beauty queen allison demarcus write rule juggling family fun reality show .,reality,one,2020,united states,tv-pg
1698,demon'spath,wai ai  jim chim sui man  kwok-pong chan  felix lok  sham ka ki  elanne kong  kate yeung  ong yi-hing  sunny lau,catch three criminal mastermind group cop team forensic pathologist see murder victim ' final moment death .,crime,one,2018,,tv-pg
1702,dennisandgnasherunleashed,freddie fox  kathryn drysdale  rasmus hardiker  joanna ruiz  ryan sampson  kelly marie stewart,fearless dennis loyal dog gnasher best friend rubi jj pieface quench thirst adventure wreaking havoc beanotown .,british,one,2017,united kingdom,tv-y
1705,derek,ricky gervais  kerry godliman  karl pilkington  david earl  kay noone  tim barlow  arthur nightingale  sheila collings  margaret towner  barry martin  prem modgil  blanche williams  ninette finch  brett goldstein  ruth bratt  holli dempsey,ricky gervais created star heartwarming comedy-drama series loyal english nursing home caretaker see good everyone .,british,three,2015,united kingdom,r
1709,derrygirls,saoirse-monica jackson  nicola coughlan  louisa harland  jamie-lee o'donnell  dylan llewellyn  tara lynne o'neill  kathy kiera clarke  tommy tiernan  ian mcelhinney  siobhan mcsweeney,amidst political conflict northern ireland 1990s five high school student square universal challenge teenager .,british,two,2019,united kingdom,r
1710,designatedsurvivor,kiefer sutherland  natascha mcelhone  maggie q  kal penn  adan canto  italia ricci  lamonica garrett  tanner buchanan  ben lawson  paulo costanzo  zoe mclellan,america ' fate rest hand low-level official attack washington decimates government gripping political thriller .,crime,three,2019,united states,r
1711,designatedsurvivor:60days,ji jin-hee  lee jun-hyuk  heo jun-ho  kang han-na  bae jong-ok  kim gyu-ri  son suk-ku  choi yoon-young  lee moo-saeng,national assembly suffers catastrophic attack minister environment park mu-jin must find way lead korea ensuing chaos .,international,one,2019,south korea,tv-pg
1719,detention,li lingwei  han ning  huang guanzhi  jack yao  hsia teng-hung  david chao  luo guanxu  wu kunda  serena fang  carol cheng  chang han,tormented student uncovers unsettling secret remote high school betrayal paranormal encounter upend life .,international,one,2020,taiwan,r
1727,devilmancrybaby,kouki uchiyama  ayumu murase  megumi han  ami koshimizu  atsuko tanaka  rikiya koyama  avu-chan  kenjiro tsuda  ken the 390  subaru kimura  young dais  hannya  afra,demon reawakened humanity turmoil sensitive demon-boy led brutal degenerate war evil mysterious friend ryo .,anime,one,2018,japan,r
1728,devlokwithdevduttpattanaik,rasika dugal  devdutt pattanaik,chat host rasika dugal mythologist devdutt pattanaik explores meaning modern-day relevance indian folklore philosophy .,international,one,2017,india,tv-pg
1730,dexter,michael c. hall  jennifer carpenter  david zayas  james remar  c.s. lee  lauren vã©lez  desmond harrington  julie benz  christina robinson  geoff pierson,day mild-mannered dexter blood-spatter analyst miami police. night serial killer target murderers .,crime,eight,2013,united states,r
1735,dharmakshetra,kashmira irani  chandan anand  dinesh mehta  ankit arora  pushkar goggiaa  anjali rana  aarya dharmchand kumar  amit behl  maleeka ghai,ancient great war god chitragupta oversees trial determine battle ' true hero villains .,international,one,2014,india,tv-pg
1737,dhiasofea,amyra rosli  fadlan hazim  maria farida  sharifah haslinda  syafiq kyle  sasqia dahuri  raja ema  faye kusairi  puteri octovia  roy azman  norlia ghani,discovering wa adopted infant young woman embarks perilous quest connect biological mother .,international,one,2015,malaysia,tv-pg
1741,diablero,christopher von uckermann  horacio garcã­a rojas  gisselle kuri  fã¡tima molina  dolores heredia  humberto busto  quetzalli cortã©s  alexa martin  flavio medina  dulce neri  mariana botas,young girl go missing big city desperate priest join demon hunter motley crew otherworldly mission find .,international,two,2020,mexico,r
1742,diagnosis,lisa sanders,dr. lisa sander crowdsources diagnosis mysterious rare medical condition documentary series based new york time magazine column .,docuseries ,one,2019,united states,tv-pg
1743,diamondcity,noxee maqashalala  angela sithole  nambitha ben-mazwi  thabang molaba  lehlohonolo makoko  ilse klink  makgano mamabolo  tshepo maseko,prominent prosecuting attorney must defend innocence â€ ” life â€ ” ' set sent prison investigates conspiracy .,crime,one,2019,,r
1744,diamondlover,rain  tiffany tang  luo jin  dilraba dilmurat  yao yichen,accident lead great weight loss once-obese mi duo embarks new life working secret crush diamond company ceo xiao liang .,international,one,2015,china,tv-pg
1764,dinnerforfive,,episode four celebrity join host jon favreau dinner share revealing story show business personal lives .,stand-up,one,2007,united states,r
1766,dinogirlgauko,naoko matsui  hiroshi kamiya  kazue ikura  chafurin  chie kojiro  mari mashiba  ryoko shiraishi  hidekatsu shibata  tadashi miyazawa  sonosuke hattori  karen  yui toita  izu konishi  eri ozaki  risa nakamura  tomoyo chujo  takuro hijioka  sawako yoshida  chika okubo  yuri fujiwara  tomomi yamakawa  hikaru yuki  miyako kobayashi  mutsuki arisawa  koharu nogata  tomoka kuzutani  madoka yokoyama  madoka hiraide  ayako takamura  yuki arimoto  yuto kazama  arisa takami  chika sakamoto,get angry middle schooler naoko turn fierce dinosaur gauko ! thanks friend alien life full wacky incidents .,anime,two,2020,united states  japan,tv-y7
1767,dinohunt,,top scientist paleontologist examine dinosaur fossil located throughout canada searching elusive new species .,docuseries ,one,2016,canada,tv-pg
1768,dinosaurking,megumi matsumoto  matsuri mizuguchi  tomoko kobashi  asuka tanii  seiko tamura  veronica taylor  sebastian arcelus  kether donohue  rachael lillis  madeleine blaustein,aided tablet found near downed meteorite max rex zoe race evil alpha gang travel globe search living dinosaurs .,anime,two,2008,japan,tv-y7
1769,dinotrux,andrew francis  richard ian cox  ashleigh ball  matt hill  brian drummond  paul dobson,half dinosaur half construction truck full-on fun ! watch giant ty rux little buddy revvit crew come face-to-face evil d-structs .,kids',five,2017,united states,tv-y7
1770,dinotruxsupercharged,andrew francis  richard ian cox  brian drummond  matt hill  ashleigh ball  paul dobson,amped power make faster stronger agile ever dinotrux back face new challenge meet new friends .,kids',three,2018,,tv-y7
1771,dirtyjohn,connie britton  eric bana  juno temple  julia garner  jean smart  keiko agena  jeff perry  kevin zegers  jake abel,businesswoman debra newell ' life unravels fall lie manipulation con man john meehan. based true-crime podcast .,crime,one,2018,united states,r
1772,dirtymoney,,crippling payday loan car cheat emission test investigative series expose brazen act corporate greed corruption .,crime,two,2020,united states,r
1773,disappearance,nelly karim  mohamed mamdouh  hesham selim,university lecturer russia return egypt husband ' sudden disappearance uncovering mystery investigates .,international,one,2018,egypt,r
1779,disenchantment,abbi jacobson  eric andrã©  nat faxon  john dimaggio  tress macneille  matt berry  david herman  maurice lamarche  lucy montgomery  billy west,princess duty call ' rather drinking. free-spirited bean exasperates king wreaks havoc demon elf pals .,tv,three,2021,united states,tv-pg
1780,disjointed,kathy bates  aaron moten  tone bell  dougie baldwin  elizabeth ho  elizabeth alderfer  chris redd  betsy sodaro  nicole sullivan  michael trucco,pot activist ruth whitefeather feldman run medical marijuana dispensary encouraging loyal patient chill enjoy high life .,tv,two,2018,united states,r
1783,divabrides,,reality series brides-to-be stop nothing dream wedding despite meager fund fallout friend even absent grooms .,british,one,2017,,r
1788,dodosolsollalasol,go a-ra  lee jae-wook  kim ju-hun  ye ji-won  lee soon-jae  shin eun-soo  seo yi-sook,riches-to-rags pianist loses everything smile guided twinkling little star small town find hope home love .,international,one,2020,south korea,tv-pg
1791,doctorfoster,suranne jones  bertie carvel  clare-hope ashitey  cheryl campbell  jodie comer  victoria hamilton  martha howe-douglas  adam james  thusitha jayasundera  sara stewart  neil stuke  tom taylor  robert pugh  shazia nicholls  cian barry  megan roberts  charlie cunniffe  navin chowdhry,suspect husband cheating dr. gemma foster start investigation lead dark path obsession .,british,two,2017,united kingdom,r
1793,documentarynow!,fred armisen  bill hader  helen mirren,"elevating art parody sharply comic series spoof high-profile documentary "" thin blue line . """,tv,three,2019,united states,tv-pg
1795,dogs,,six intimate story explore abiding emotional bond form dog caregiver matter circumstances .,docuseries,one,2018,united states,tv-pg
1796,dogsofberlin,felix kramer  fahri yardim  anna maria mã¼he  katharina schã¼ttler  alina stiegler  urs rechn  sinan farhangmehr  kais setti  mohamed issa  hauke diekamp  david bennent  deniz orta  katrin saãÿ  sebastian zimmler,two cop investigate murder famous turkish-german soccer player one ha underworld connection mire case controversy .,crime,one,2018,germany,r
1798,dollar,adel karam  amel bouchoucha,beautiful executive assistant zeina reluctantly team self-assured tarek chase elusive dollar bill worth $ 1 million .,international,one,2019,lebanon,r
1801,dollyparton'sheartstrings,dolly parton  julianne hough  kimberly williams-paisley  dallas roberts  melissa leo  andy mientus  katie stevens  michael j. willett  aidan langford  ray mckinnon  delta burke  gerald mcraney  ben lawson  brooke elliott  michele weaver  tim reid  sarah shahi  rochelle aytes  jessica collins  tammy lynn michaels  robert taylor  holly taylor  shane paul mcghie  mary lane haskell  camryn manheim  bellamy young  patricia wettig  timothy busfield  tom brittney  virginia gardner  colin o'donoghue  willa fitzgerald  david denman  vanessa rubio  mac davis  kathleen turner  ginnifer goodwin  kyle bornheimer  tyler crumley  mary donnelly haskell  ed amatrudo,eight story celebrating family faith love forgiveness come life series inspired dolly parton ' iconic country music catalog .,tv,one,2019,united states,tv-pg
1814,don'tf**kwithcats:huntinganinternetkiller,,twisted criminal ' gruesome video drive group amateur online sleuth launch risky manhunt pull dark underworld .,crime,one,2019,united kingdom  united states,r
1825,doomsdaypreppers,michael izquierdo,series highlight diverse group survivalist prepare various catastrophic scenario could cause civilization collapse .,reality,one,2013,united states,tv-pg
